"","Taxon","Group","Difference","P_value"
"1","Unassigned;Other;Other;Other;Other;Other","Control_days_0_to_7","25.2952222785648","0.193789154793586"
"2","k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium","Control_days_0_to_7","NaN","NaN"
"3","k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera","Control_days_0_to_7","NaN","NaN"
"4","k__Archaea;p__[Parvarchaeota];c__[Parvarchaea];o__WCHD3-30;f__;g__","Control_days_0_to_7","NaN","NaN"
"5","k__Bacteria;Other;Other;Other;Other;Other","Control_days_0_to_7","42.6701570680628","0.422649730810374"
"6","k__Bacteria;p__;c__;o__;f__;g__","Control_days_0_to_7","NaN","NaN"
"7","k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__","Control_days_0_to_7","NaN","NaN"
"8","k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__mb2424;g__","Control_days_0_to_7","NaN","NaN"
"9","k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__","Control_days_0_to_7","NaN","NaN"
"10","k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Edaphobacter","Control_days_0_to_7","NaN","NaN"
"11","k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae;g__","Control_days_0_to_7","NaN","NaN"
"12","k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__;g__","Control_days_0_to_7","NaN","NaN"
"13","k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__[Bryobacteraceae];g__","Control_days_0_to_7","NaN","NaN"
"14","k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__PK29;f__;g__","Control_days_0_to_7","NaN","NaN"
"15","k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__;g__","Control_days_0_to_7","NaN","NaN"
"16","k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__Ellin6075;g__","Control_days_0_to_7","NaN","NaN"
"17","k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__C111;g__","Control_days_0_to_7","NaN","NaN"
"18","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;Other;Other","Control_days_0_to_7","NaN","NaN"
"19","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__;g__","Control_days_0_to_7","NaN","NaN"
"20","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__ACK-M1;g__","Control_days_0_to_7","NaN","NaN"
"21","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces","Control_days_0_to_7","NaN","NaN"
"22","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__N09","Control_days_0_to_7","NaN","NaN"
"23","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum","Control_days_0_to_7","NaN","NaN"
"24","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinosynnemataceae;Other","Control_days_0_to_7","NaN","NaN"
"25","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Beutenbergiaceae;g__Salana","Control_days_0_to_7","NaN","NaN"
"26","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium","Control_days_0_to_7","NaN","NaN"
"27","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;Other","Control_days_0_to_7","NaN","NaN"
"28","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium","Control_days_0_to_7","NaN","NaN"
"29","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cryptosporangiaceae;g__","Control_days_0_to_7","NaN","NaN"
"30","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae;g__Brachybacterium","Control_days_0_to_7","NaN","NaN"
"31","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermacoccaceae;g__Dermacoccus","Control_days_0_to_7","NaN","NaN"
"32","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__","Control_days_0_to_7","NaN","NaN"
"33","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Geodermatophilus","Control_days_0_to_7","NaN","NaN"
